,index,ceo,value,Born,Nationality,Education,BoY,us_abbr,born_country
187,343,Fujio Mitarai,"Born: September 23, 1935 (age 84 years), Kamae, Ōita', 'Education: Chuo University', 'Children: Sayoko, Masanobu Mitarai","September 23, 1935 (age 84 years), Kamae, Ōita",,Chuo University,1935,,
188,346,Johannes Teyssen,"Born: October 9, 1959 (age 60 years), Hildesheim, Germany', 'Children: 4', 'Education: University of Göttingen","October 9, 1959 (age 60 years), Hildesheim, Germany",Germany,University of Göttingen,1959,,Germany
189,353,Matteo Del Fante,"Born: May 27, 1967 (age 52 years), Florence, Italy",,,,,,
190,355,Toshihiro Suzuki,"Born: March 1959 (age 61 years), Shizuoka, Japan', 'Parents: Osamu Suzuki', 'Grandparent: Shunzo Suzuki","March 1959 (age 61 years), Shizuoka, Japan",Japan,,1959,,Japan
191,358,Tidjane Thiam,"""Born: July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam', 'Children: 2', 'Education: INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Papa Ababakar Thiam, N'deye Anna Thiam, Daouda Thiam, Augustin Thiam"", 'Nationality: Ivorian, French","July 29, 1962 (age 57 years), Côte d'Ivoire"", 'Spouse: Annette Thiam",Thiam,"INSEAD Europe Campus (1986–1988), MORE', ""Siblings: Abdel Aziz Thiam, Yamousso Thiam, Papa Ababakar Thiam, N'deye Anna Thiam, Daouda Thiam, Augustin Thiam"", 'Nationality: Ivorian, French",1962,,Thiam
192,361,C. C. Wei,"Born: July 12, 1914, Shengzhou, Shaoxing, China', 'Died: February 20, 1987, Broadway, NY', 'Books: Bidding Precisely, The precision bidding system in bridge, MORE","July 12, 1914, Shengzhou, Shaoxing, China",China,,1914,,China
193,363,Barry Lam,"Born: April 24, 1949 (age 70 years), Shanghai, China', 'Net worth: 4.1 billion USD (2020)', 'Spouse: He Sha', 'Children: Sam Lam, Lam Yu-Hsuan', 'Organizations founded: Quanta Computer, Kinpo Electronics, Inc., Quanta Arts Foundation","April 24, 1949 (age 70 years), Shanghai, China",China,,1949,,China
194,370,Michael A. Wells,"Born: April 9, 1960 (age 59 years), Canada', 'Alma mater: San Diego State University', 'Predecessor: Tidjane Thiam', 'Children: 2', 'Spouse(s): married","April 9, 1960 (age 59 years), Canada",Canada,San Diego State University,1960,,Canada
195,371,Matt Comyn,"Employer: Commonwealth Bank', 'Education: The University of Sydney, Sydney Boys High School",,,"The University of Sydney, Sydney Boys High School",,,
196,372,Masaaki Tsuya,"Born: June 22, 1952 (age 67 years), Tokyo, Japan', 'Education: Hitotsubashi University","June 22, 1952 (age 67 years), Tokyo, Japan",Japan,Hitotsubashi University,1952,,Japan
197,377,Olivier Le Peuch,"Born: France', 'Predecessor: Paal Kibsgaard', 'Board member of: Schlumberger', 'Education: École nationale supérieure d’électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux, MORE",France,France,"École nationale supérieure d’électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux, MORE",,,France
198,379,Richard A. Gonzalez,"Born: January 21, 1954 (age 66 years)', 'Nationality: American', 'Education: University of Houston","January 21, 1954 (age 66 years)",American,University of Houston,1954,,
199,380,Evan G. Greenberg,"Born: 1955 (age 65 years), United States', 'Education: カレッジ・オブ・インシュアランス, New York University', 'Books: Reinvigorating U.S. Economic Strategy in the Asia Pacific: Recommendations for the Incoming Administration', 'Siblings: Jeffrey W. Greenberg, Cathleen Greenberg, Scott Greenberg', 'Parents: Maurice R. Greenberg, Corinne Phyllis Zuckerman', 'Grandparents: Jacob Greenberg, Ada Rheingold","1955 (age 65 years), United States",United States,"カレッジ・オブ・インシュアランス, New York University",1955,,United States
200,382,Jack Bowles,"Born: France', 'Predecessor: Nicandro Durante', 'Board member of: British American Tobacco",France,France,,,,France
201,385,Richard Fairbank,"Born: September 18, 1950 (age 69 years), California', 'Height: 5′ 7″', 'Net worth: US$1.1 billion (January 2018)', 'Spouse: Chris Fairbank', 'Children: 8', 'Education: Stanford University, Stanford Graduate School of Business","September 18, 1950 (age 69 years), California",California,"Stanford University, Stanford Graduate School of Business",1950,,California
202,389,Tricia Griffith,"Born: October 1964 (age 55 years), Illinois', 'Education: Illinois State University', 'Employer: Progressive Corporation (CEO, president)","October 1964 (age 55 years), Illinois",Illinois,Illinois State University,1964,,Illinois
203,393,James Quincey,"Born: January 8, 1965 (age 55 years), London, United Kingdom', 'Nationality: British', 'Children: 2', 'Spouse: Jacqui Quincey', 'Predecessor: Muhtar Kent', ""Education: King Edward's School, University of Liverpool""","January 8, 1965 (age 55 years), London, United Kingdom",British,"King Edward's School, University of Liverpool""",1965,,United Kingdom
204,394,Jean Paul Agon,"Born: July 6, 1956 (age 63 years), Boulogne-Billancourt, France', 'Spouse: Sophie Agon', 'Education: HEC Paris","July 6, 1956 (age 63 years), Boulogne-Billancourt, France",France,HEC Paris,1956,,France
205,395,Albert Manifold,"Born: August 1962 (age 57 years)', 'Term: January 2014-', 'Predecessor: Myles Lee",August 1962 (age 57 years),,,1962,,
206,401,Dominic Blakemore,"Born: June 1969 (age 50 years)', 'Education: University College London', 'Predecessor: Richard J. Cousins', 'Term: 2018",June 1969 (age 50 years),,University College London,1969,,
207,402,Antonio Neri,"Born: May 10, 1967 (age 52 years), Argentina', 'Nationality: American', 'Education: National Technological University', 'Board member of: Hewlett Packard Enterprise', 'Predecessor: Meg Whitman', 'Residence: Livermore, CA, Delray Beach, FL","May 10, 1967 (age 52 years), Argentina",American,National Technological University,1967,,Argentina
208,403,Philip Jansen,"Born: January 28, 1967 (age 53 years), United Kingdom', 'Children: 5', 'Education: Cardiff University', 'Predecessor: Gavin Patterson","January 28, 1967 (age 53 years), United Kingdom",United Kingdom,Cardiff University,1967,,United Kingdom
209,404,Pablo Isla,"Born: January 22, 1964 (age 56 years), Madrid, Spain', 'Spouse: Maria de la Vega', 'Children: Cecilia Isla, Santiago Isla, Belén Isla', 'Education: Complutense University of Madrid, Our Lady of Remembrance College, Madrid', 'Parents: José María Isla, Carmen Álvarez de Tejera', 'Siblings: Fernando Isla Álvarez de Tejera","January 22, 1964 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, Our Lady of Remembrance College, Madrid",1964,,Spain
210,405,Antoine Frérot,"Born: June 3, 1958 (age 61 years), Fontainebleau, France', 'Books: Water: Towards a Culture of Responsibility', 'Education: École des ponts ParisTech, École Polytechnique', 'Awards: Legion of Honour","June 3, 1958 (age 61 years), Fontainebleau, France",France,"École des ponts ParisTech, École Polytechnique",1958,,France
211,406,Miles D. White,"Born: 1955 (age 65 years), Minneapolis, MN', 'Education: Stanford Graduate School of Business (1980), Stanford University (1978), Culver Academies","1955 (age 65 years), Minneapolis, MN",American,"Stanford Graduate School of Business (1980), Stanford University (1978), Culver Academies",1955,MN,
212,407,Sanjay Mehrotra,"Born: June 27, 1958 (age 61 years), Kanpur, India', 'Spouse: Sangeeta Mehrotra', 'Education: University of California, Berkeley', 'Founded: SanDisk', 'Children: Mahncy Mehrotra, Malika Mehrotra","June 27, 1958 (age 61 years), Kanpur, India",India,"University of California, Berkeley",1958,,India
213,408,Daniel Obajtek,"Born: January 2, 1976 (age 44 years), Myslenice, Poland', 'Party: Law and Justice', 'Education: Private College of Environmental Protection (2014), Gdańska Fundacja Kształcenia Menedżerów', 'Siblings: Bartłomiej Obajtek","January 2, 1976 (age 44 years), Myslenice, Poland",Poland,"Private College of Environmental Protection (2014), Gdańska Fundacja Kształcenia Menedżerów",1976,,Poland
214,409,Jean-Pascal Tricoire,"Born: November 5, 1963 (age 56 years), Beaupréau', 'Education: ESEO, Emlyon Business School","November 5, 1963 (age 56 years), Beaupréau",,"ESEO, Emlyon Business School",1963,,
215,411,Alan D. Schnitzer,"Born: 1965 (age 55 years), United States', 'Spouse: Anne Rose Berman', 'Education: Wharton School of the University of Pennsylvania, Columbia Law School","1965 (age 55 years), United States",United States,"Wharton School of the University of Pennsylvania, Columbia Law School",1965,,United States
216,412,Dong Mingzhu,"Born: August 1954 (age 65 years), Nanjing, China', 'Residence: Zhuhai, China', 'Predecessor: Zhu Jianghong', 'Title: Chairman of the board of Gree Electric', 'Children: 1 son', 'Education: Zhongnan University of Economics and Law, MORE","August 1954 (age 65 years), Nanjing, China",China,"Zhongnan University of Economics and Law, MORE",1954,,China
217,414,Kathy J. Warden,"Title: Chief Executive Officer and President of Northrop Grumman', 'Board member of: Federal Reserve Bank of Richmond, Northrop Grumman, Wolf Trap National Park for the Performing Arts', 'Education: James Madison University, Smithsburg High School, The George Washington University",,,"James Madison University, Smithsburg High School, The George Washington University",,,
218,417,Omar Ishrak,"Born: 1956 (age 64 years), Bangladesh', ""Education: King's College London, সেন্ট যোসেফ উচ্চ মাধ্যমিক বিদ্যালয়""","1956 (age 64 years), Bangladesh",Bangladesh,"King's College London, সেন্ট যোসেফ উচ্চ মাধ্যমিক বিদ্যালয়""",1956,,Bangladesh
219,420,André Calantzopoulos,"Born: 1958 (age 62 years), Archaeological Site of Olympia, Greece', 'Education: INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne","1958 (age 62 years), Archaeological Site of Olympia, Greece",Greece,"INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne",1958,,Greece
220,421,Levent Çakıroğlu (Levent Cakiroglu),"Born: 1967 (age 53 years), Ankara, Turkey', 'Education: Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign","1967 (age 53 years), Ankara, Turkey",Turkey,"Ankara University Faculty of Political Science - Civil (1988), University of Illinois at Urbana-Champaign",1967,,Turkey
221,423,Jean Pierre Mustier,"Born: January 18, 1961 (age 59 years), Chamalières, France",,,,,,
222,425,Bill McDermott,"Born: August 18, 1961 (age 58 years), Flushing, New York, NY', 'Spouse: Julie McDermott', 'Children: 2', 'Books: Winners Dream: A Journey from Corner Store to Corner Office', 'Education: Dowling College, University of Pennsylvania, MORE', 'Parents: Bill McDermott, Kathleen McDermott","August 18, 1961 (age 58 years), Flushing, New York, NY",American,"Dowling College, University of Pennsylvania, MORE",1961,NY,
223,426,Philippe Wahl,"Born: March 11, 1956 (age 64 years), Sarralbe, France', ""Education: École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Adrien Wahl, Georgette Meyer","March 11, 1956 (age 64 years), Sarralbe, France",France,"École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Adrien Wahl, Georgette Meyer",1956,,France
224,430,Emmanuel Faber,"Born: January 22, 1964 (age 56 years), Grenoble, France', 'Education: HEC Paris","January 22, 1964 (age 56 years), Grenoble, France",France,HEC Paris,1964,,France
225,433,William M. Walsh,"Born: October 25, 1961 (age 58 years), Dublin, Ireland', 'Education: Trinity College Dublin, Ardscoil Rís, Dublin","October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís, Dublin",1961,,Ireland
226,443,Alain Dehaze,"Born: 1963 (age 57 years)', 'Education: ICHEC Brussels Management School",1963 (age 57 years),,ICHEC Brussels Management School,1963,,
227,444,Jacques van den Broek,"Born: May 24, 1960 (age 59 years), Goes, Netherlands', 'Education: Tilburg University","May 24, 1960 (age 59 years), Goes, Netherlands",Netherlands,Tilburg University,1960,,Netherlands
228,447,"""O'Connor Sean M""","Address: 767 5th Ave # Conc1, New York, NY 10153', 'Phone: (212) 310-8000",,,,,,
229,448,Mark Cutifani,"Born: May 2, 1958 (age 61 years), Wollongong, Australia', 'Term: 2013–present', 'Education: University of Wollongong', 'Predecessor: Cynthia Carroll","May 2, 1958 (age 61 years), Wollongong, Australia",Australia,University of Wollongong,1958,,Australia
230,450,Antonio Huertas,"Born: January 18, 1964 (age 56 years), Villanueva de la Serena, Spain', 'Education: University of Salamanca","January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964,,Spain
231,454,Vincent Bolloré,"Born: April 1, 1952 (age 67 years), Boulogne-Billancourt, France', 'Nationality: French', 'Spouse(s): Anaïs Jeanneret', 'Net worth: 4 billion USD (2020)', 'Children: Yannick Bolloré, Cyrille Bollore, Marie Bollore, Sébastien Bollore, Cyrille Bolloré', 'Education: Paris Nanterre University, Janson de Sailly School","April 1, 1952 (age 67 years), Boulogne-Billancourt, France",French,"Paris Nanterre University, Janson de Sailly School",1952,,France
232,455,Shayne Elliott,"Born: New Zealand', 'Spouse: Najla Elliott', 'Education: The University of Auckland, Waitakere College",New Zealand,Zealand,"The University of Auckland, Waitakere College",,,Zealand
233,458,Thomas A. Kennedy,"Born: 1955 (age 65 years), United States', 'Alma maters: Rutgers University, Air Force Institute of Technology, University of California, Los Angeles","1955 (age 65 years), United States",United States,,1955,,United States
234,464,Rajeev Suri,"Born: October 10, 1967 (age 52 years), New Delhi, India', 'Nationality: Singaporean', 'Spouse: Nina Suri (m. 1992)', 'Education: Manipal Institute of Technology (1989), Manipal Academy of Higher Education, Mangalore University', 'Parents: Asha Suri, Yashpal Suri', 'Children: Anish Suri, Ankit Suri","October 10, 1967 (age 52 years), New Delhi, India",Singaporean,"Manipal Institute of Technology (1989), Manipal Academy of Higher Education, Mangalore University",1967,,India
235,465,Jean-François van Boxmeer,"Born: September 12, 1961 (age 58 years), Ixelles, Belgium', 'Education: University of Namur', 'Board member of: Mondelez International, Heineken N.V.","September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,University of Namur,1961,,Belgium
236,466,Lei Jun,"Born: December 16, 1969 (age 50 years), Xiantao, China', 'Nationality: Chinese', 'Net worth: 10.3 billion USD (2020)', 'Spouse: Zhang Tong', 'Children: 2', 'Education: Wuhan University (1987–1991), Hubei Xiantao Middle School (1984–1987)","December 16, 1969 (age 50 years), Xiantao, China",Chinese,"Wuhan University (1987–1991), Hubei Xiantao Middle School (1984–1987)",1969,,China
237,470,Miguel Patricio,"Nationality: Portuguese', 'Predecessor: Bernard Hees",,Portuguese,,,,
238,474,Ahmed bin Saeed Al Maktoum,"Born: December 1, 1958 (age 61 years), Dubai, United Arab Emirates', 'Net worth: US$37.8 billion (2018)', 'Spouse: Mona bint Obaid bin Thani Al Maktoum (m. 2008)', 'House: Al Maktoum', 'Parents: Saeed bin Maktoum bin Hasher Al Maktoum, Sheikha Fatima bint Ahmed bin Suliman', 'Children: Saeed bin Ahmed bin Saeed Al Maktoum","December 1, 1958 (age 61 years), Dubai, United Arab Emirates",Emirates,,1958,,Emirates
239,478,Dirk Van de Put,"Born: 1959 (age 61 years), Mechelen, Belgium', 'Predecessor: Irene Rosenfeld', 'Education: Ghent University, University of Antwerp","1959 (age 61 years), Mechelen, Belgium",Belgium,"Ghent University, University of Antwerp",1959,,Belgium
240,479,Kasper Rørsted,"Born: February 24, 1962 (age 58 years), Aarhus, Denmark', 'Nationality: Danish', 'Spouse: Lene Rørsted', 'Education: Harvard Business School (2007–2007), MORE', 'Parents: Bendt Rørsted, Judith Kildeberg Rørsted","February 24, 1962 (age 58 years), Aarhus, Denmark",Danish,"Harvard Business School (2007–2007), MORE",1962,,Denmark
241,481,Wiebe Draijer,"Born: August 27, 1965 (age 54 years), Enschede, Netherlands', 'Education: Delft University of Technology (TU Delft)","August 27, 1965 (age 54 years), Enschede, Netherlands",Netherlands,Delft University of Technology (TU Delft),1965,,Netherlands
242,483,Xu Xianping,"Born: October 1954 (age 65 years), Longhui County, Shaoyang, China', 'Party: Communist Party of China","October 1954 (age 65 years), Longhui County, Shaoyang, China",China,,1954,,China
243,489,Gerald W. Schwartz,"Born: November 24, 1941 (age 78 years), Winnipeg, Canada', 'Net worth: 1.2 billion USD (2020)', 'Children: 4', 'Spouse: Heather Reisman (m. 1982)', 'Education: Harvard University, University of Manitoba, Kelvin High School', 'Organizations founded: Onex Corporation, HESEG Foundation, Canwest, Cineplex Entertainment","November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,"Harvard University, University of Manitoba, Kelvin High School",1941,,Canada
244,491,Philippe Petitcolin,"Born: September 28, 1952 (age 67 years), Bannoncourt, France', 'Education: Centre de perfectionnement aux affaires', 'Board member of: Safran, GIFAS, Belcan","September 28, 1952 (age 67 years), Bannoncourt, France",France,Centre de perfectionnement aux affaires,1952,,France
245,495,Darryl White,"Education: Ivey Business School, Western University",,,"Ivey Business School, Western University",,,
246,496,Chen Dongsheng,"Born: December 17, 1957 (age 62 years)', 'Net worth: 4.9 billion USD (2020)', 'Organization founded: Taikang Life Insurance","December 17, 1957 (age 62 years)",,,1957,,
247,498,Benoît Potier,"Born: 1957 (age 63 years), Mulhouse, France', 'Education: Lycée privé Sainte-Geneviève, École Centrale Paris","1957 (age 63 years), Mulhouse, France",France,"Lycée privé Sainte-Geneviève, École Centrale Paris",1957,,France
